import time: self [us] | cumulative | imported package
import time:       317 |        317 |                       attr._config
import time:       347 |        347 |                         attr.exceptions
import time:       299 |        646 |                       attr.setters
import time:      2137 |       3099 |                     attr._make
import time:       496 |       5247 |                   attr.converters
import time:       332 |        332 |                   attr.filters
import time:      2551 |       2551 |                   attr.validators
import time:       422 |        422 |                   attr._cmp
import time:       353 |        353 |                   attr._funcs
import time:       438 |        438 |                   attr._next_gen
import time:       828 |        828 |                   attr._version_info
import time:       707 |      10875 |                 attr
import time:       375 |        375 |                 rich.abc
import time:      1487 |      12878 |               rich.pretty
import time:       498 |        498 |               rich.region
import time:       478 |        478 |                   rich.box
import time:       426 |        426 |                   rich.padding
import time:       564 |       1467 |                 rich.panel
import time:       741 |        741 |                           numbers
import time:       968 |       1708 |                         _decimal
import time:       397 |       2105 |                       decimal
import time:       878 |       2982 |                     fractions
import time:       438 |       3419 |                   rich._ratio
import time:      1569 |       4988 |                 rich.table
import time:       410 |       6865 |               rich.scope
import time:       388 |        388 |               rich.screen
import time:       325 |        325 |               rich.styled
import time:      2946 |      48462 |             rich.console
import time:        56 |         56 |               mmap
import time:       603 |        603 |               rich.filesize
import time:       617 |        617 |                   rich.ansi
import time:       360 |        976 |                 rich.file_proxy
import time:       369 |        369 |                 rich.live_render
import time:       476 |       1820 |               rich.live
import time:       406 |        406 |               rich.progress_bar
import time:       344 |        344 |                 rich._spinners
import time:       376 |        719 |               rich.spinner
import time:      1482 |       5083 |             rich.progress
import time:       311 |        311 |                 pygments.filter
import time:       579 |        579 |                   pygments.token
import time:       754 |       1333 |                 pygments.filters
import time:       468 |        468 |                 pygments.regexopt
import time:       602 |       2712 |               pygments.lexer
import time:       481 |        481 |               pygments.style
import time:       526 |        526 |                 pygments.styles._mapping
import time:       398 |        923 |               pygments.styles
import time:       846 |       4960 |             rich.syntax
import time:       693 |      87131 |           httpx._main
import time:       572 |     120585 |         httpx
import time:       476 |     121060 |       telegram.request._httpxrequest
import time:       482 |     129578 |     telegram.request
import time:       382 |        382 |     telegram._birthdate
import time:       596 |        596 |         _compat_pickle
import time:       130 |        130 |         _pickle
import time:       394 |        394 |             org
import time:        17 |        410 |           org.python
import time:        13 |        423 |         org.python.core
import time:       835 |       1982 |       pickle
import time:       453 |        453 |         cryptography.hazmat.primitives.serialization.base
import time:       463 |        463 |           cryptography.hazmat.primitives.asymmetric.dsa
import time:       515 |        515 |             cryptography.hazmat._oid
import time:       562 |       1076 |           cryptography.hazmat.primitives.asymmetric.ec
import time:       371 |        371 |           cryptography.hazmat.primitives.asymmetric.ed25519
import time:       304 |        304 |           bcrypt
import time:      1289 |       3501 |         cryptography.hazmat.primitives.serialization.ssh
import time:       399 |       4352 |       cryptography.hazmat.primitives.serialization
import time:       385 |        385 |       telegram._botcommand
import time:       436 |        436 |       telegram._botcommandscope
import time:       331 |        331 |       telegram._botdescription
import time:       289 |        289 |       telegram._botname
import time:       363 |        363 |         telegram._files.location
import time:       339 |        339 |         telegram._utils.warnings_transition
import time:       486 |       1187 |       telegram._business
import time:       331 |        331 |       telegram._chatadministratorrights
import time:       514 |        514 |       telegram._chatboost
import time:       315 |        315 |         telegram._chatlocation
import time:       455 |        455 |         telegram._files.chatphoto
import time:       546 |       1315 |       telegram._chatfullinfo
import time:       370 |        370 |       telegram._chatinvitelink
import time:       430 |        430 |       telegram._chatmember
import time:       310 |        310 |       telegram._files.contact
import time:       333 |        333 |       telegram._files.venue
import time:       319 |        319 |       telegram._files.videonote
import time:       412 |        412 |       telegram._files.voice
import time:       530 |        530 |       telegram._games.gamehighscore
import time:       655 |        655 |       telegram._inline.inlinequeryresultsbutton
import time:       360 |        360 |       telegram._inline.preparedinlinemessage
import time:       517 |        517 |         telegram._chatbackground
import time:       350 |        350 |         telegram._dice
import time:       424 |        424 |         telegram._games.game
import time:       273 |        273 |           telegram._utils.markup
import time:       328 |        601 |         telegram._inline.inlinekeyboardmarkup
import time:       284 |        284 |         telegram._messageautodeletetimerchanged
import time:       313 |        313 |         telegram._paidmessagepricechanged
import time:       299 |        299 |             telegram._passport.data
import time:       590 |        590 |             telegram._passport.passportfile
import time:       365 |       1253 |           telegram._passport.encryptedpassportelement
import time:       310 |       1563 |         telegram._passport.passportdata
import time:       381 |        381 |         telegram._payment.invoice
import time:       318 |        318 |         telegram._payment.refundedpayment
import time:       293 |        293 |             telegram._payment.shippingaddress
import time:       342 |        635 |           telegram._payment.orderinfo
import time:       326 |        960 |         telegram._payment.successfulpayment
import time:      1084 |       1084 |         telegram._poll
import time:       354 |        354 |         telegram._proximityalerttriggered
import time:       382 |        382 |           telegram._giveaway
import time:       372 |        372 |           telegram._messageorigin
import time:       316 |        316 |           telegram._story
import time:       568 |       1637 |         telegram._reply
import time:       383 |        383 |         telegram._shared
import time:       500 |        500 |         telegram._uniquegift
import time:       408 |        408 |         telegram._videochat
import time:       490 |        490 |         telegram._webappdata
import time:       342 |        342 |         telegram._writeaccessallowed
import time:      2147 |      13049 |       telegram._message
import time:       385 |        385 |       telegram._messageid
import time:       466 |        466 |       telegram._ownedgift
import time:       329 |        329 |       telegram._sentwebappmessage
import time:       627 |        627 |         telegram._callbackquery
import time:       452 |        452 |         telegram._chatjoinrequest
import time:       428 |        428 |         telegram._chatmemberupdated
import time:       375 |        375 |         telegram._choseninlineresult
import time:       608 |        608 |         telegram._inline.inlinequery
import time:       451 |        451 |         telegram._messagereactionupdated
import time:       487 |        487 |         telegram._payment.precheckoutquery
import time:       421 |        421 |         telegram._payment.shippingquery
import time:       831 |       4675 |       telegram._update
import time:       462 |        462 |       telegram._userprofilephotos
import time:       341 |        341 |       telegram._utils.repr
import time:       389 |        389 |       telegram._webhookinfo
import time:      2981 |      37907 |     telegram._bot
import time:       429 |        429 |     telegram._forcereply
import time:       565 |        565 |     telegram._inline.inlinequeryresult
import time:       399 |        399 |     telegram._inline.inlinequeryresultarticle
import time:       538 |        538 |     telegram._inline.inlinequeryresultaudio
import time:       442 |        442 |     telegram._inline.inlinequeryresultcachedaudio
import time:       386 |        386 |     telegram._inline.inlinequeryresultcacheddocument
import time:       346 |        346 |     telegram._inline.inlinequeryresultcachedgif
import time:       337 |        337 |     telegram._inline.inlinequeryresultcachedmpeg4gif
import time:       377 |        377 |     telegram._inline.inlinequeryresultcachedphoto
import time:       540 |        540 |     telegram._inline.inlinequeryresultcachedsticker
import time:       453 |        453 |     telegram._inline.inlinequeryresultcachedvideo
import time:       640 |        640 |     telegram._inline.inlinequeryresultcachedvoice
import time:       399 |        399 |     telegram._inline.inlinequeryresultcontact
import time:       369 |        369 |     telegram._inline.inlinequeryresultdocument
import time:       318 |        318 |     telegram._inline.inlinequeryresultgame
import time:       339 |        339 |     telegram._inline.inlinequeryresultgif
import time:       348 |        348 |     telegram._inline.inlinequeryresultlocation
import time:       349 |        349 |     telegram._inline.inlinequeryresultmpeg4gif
import time:       336 |        336 |     telegram._inline.inlinequeryresultphoto
import time:       318 |        318 |     telegram._inline.inlinequeryresultvenue
import time:       339 |        339 |     telegram._inline.inlinequeryresultvideo
import time:       319 |        319 |     telegram._inline.inlinequeryresultvoice
import time:       283 |        283 |       telegram._inline.inputmessagecontent
import time:       381 |        664 |     telegram._inline.inputcontactmessagecontent
import time:       290 |        290 |       telegram._payment.labeledprice
import time:       343 |        633 |     telegram._inline.inputinvoicemessagecontent
import time:       335 |        335 |     telegram._inline.inputlocationmessagecontent
import time:       302 |        302 |     telegram._inline.inputtextmessagecontent
import time:       309 |        309 |     telegram._inline.inputvenuemessagecontent
import time:       276 |        276 |       telegram._keyboardbuttonpolltype
import time:       331 |        331 |       telegram._keyboardbuttonrequest
import time:       361 |        967 |     telegram._keyboardbutton
import time:       400 |        400 |     telegram._passport.passportelementerrors
import time:       330 |        330 |     telegram._payment.shippingoption
import time:       358 |        358 |     telegram._replykeyboardmarkup
import time:       278 |        278 |     telegram._replykeyboardremove
import time:       500 |        500 |     telegram._storyarea
import time:      1243 |     237256 |   telegram
import time:       353 |        353 |       telegram.ext._utils
import time:       537 |        889 |     telegram.ext._utils._update_parsing
import time:       391 |        391 |     telegram.ext._utils.types
import time:      2038 |       3317 |   telegram.ext.filters
import time:       559 |        559 |       aiolimiter.leakybucket
import time:      3003 |       3562 |     aiolimiter
import time:       381 |        381 |     telegram.ext._baseratelimiter
import time:       452 |       4394 |   telegram.ext._aioratelimiter
import time:       445 |        445 |           cachetools
import time:       501 |        945 |         telegram.ext._callbackdatacache
import time:      2683 |       3628 |       telegram.ext._extbot
import time:       507 |       4134 |     telegram.ext._basepersistence
import time:       558 |        558 |       telegram.ext._callbackcontext
import time:       428 |        985 |     telegram.ext._contexttypes
import time:       337 |        337 |       telegram.ext._handlers
import time:       589 |        925 |     telegram.ext._handlers.basehandler
import time:       351 |        351 |       telegram.ext._utils.networkloop
import time:       300 |        300 |           tornado
import time:        19 |        319 |         tornado.web
import time:       343 |        661 |       telegram.ext._utils.webhookhandler
import time:       553 |       1564 |     telegram.ext._updater
import time:       304 |        304 |     telegram.ext._utils.stack
import time:       369 |        369 |     telegram.ext._utils.trackingdict
import time:      1029 |       9307 |   telegram.ext._application
import time:       322 |        322 |       telegram.ext._utils.asyncio
import time:       384 |        705 |     telegram.ext._baseupdateprocessor
import time:      1333 |       1333 |           apscheduler
import time:       552 |       1884 |         apscheduler.executors
import time:       552 |        552 |           apscheduler.events
import time:       386 |        937 |         apscheduler.executors.base
import time:       995 |        995 |               sysconfig
import time:       739 |       1733 |             zoneinfo._tzpath
import time:       348 |        348 |             zoneinfo._common
import time:       711 |        711 |             _zoneinfo
import time:       473 |       3263 |           zoneinfo
import time:       629 |       3892 |         apscheduler.util
import time:       522 |       7234 |       apscheduler.executors.asyncio
import time:       395 |        395 |         apscheduler.schedulers
import time:       306 |        306 |               _winreg
import time:       359 |        359 |                 tzlocal.windows_tz
